Applicable_Compliance_Frameworks,Control_ID,Control_Category,Control_Status_Distribution,Compliance_Maturity_Level,Control_Testing_Frequency,Business_Impact,Annual_Revenue,Penalty_Risk_Assessment,Remediation_Cost,Asset_Type,Data_Sensitivity_Classification,Organizational_Unit,Business_Area,Geographic_Scope,Industry_Sector,Audit_Type,Audit_Finding_Severity,Repeat_Finding,Compliance_Owner,Evidence_Freshness_Days,Audit_Preparation_Score,Incident_Type,Incident_Notification_Compliance,Incident_Cost_Impact,Revenue_Category,Risk_Exposure_Ratio,ROI_Potential,Compliance_Score,Financial_Risk_Score,Asset_Risk_Index,Audit_Readiness_Score,Incident_Impact_Score,Composite_Risk_Score
NIST-CSF,IA-22,Technical,Compliant,4.9,Weekly,Medium,24873901712.76,1492434.1,3561.85,POS-System,Restricted,Regulatory Compliance,IT Governance,GB,Financial-Services,Regulatory,Best-Practice,False,christopher.davis@finserv.com - Audit Manager,1,1.0,No_Incident,True,0.0,Enterprise,5.99999998888152e-05,10.0,97.9,1.5116402720708046,80.5,95.0,22.75,25.65349208162124
ISO27001,A.6.7,Administrative,In_Progress,3.2,Annual,Low,759860117.38,14589.31,640.18,Virtual-Machine,Internal,Information Security,Access Control,CH,Energy,Compliance-Assessment,Medium,False,melanie.munoz@energy.com - Risk Manager,90,0.618,System_Outage,False,355965.58,Mid-Market,1.9199994402001233e-05,10.0,53.25,0.6803278321500265,57.50000000000001,74.94999999999999,74.87852306513658,41.242302962672326
CIS-Controls,Control 9.3,Detective,Compliant,2.5,Weekly,Critical,28931237.29,3471.75,500.0,IoT-Device,Confidential,Security Architecture,Security Operations,IN,Technology,Vendor,High,False,lindsay.blair@tech.io - Compliance Manager,1,0.673,No_Incident,True,0.0,SME,0.00012000005271810483,5.9435,69.5875,2.122704196039242,63.0,77.825,19.0,27.78993625881177
NIST-CSF,CA-24(9),Detective,In_Progress,2.6,Weekly,Low,370199846.36,35539.19,12029.2,Data-Store,Restricted,Compliance and Governance,Incident Response,CA,Pharmaceuticals,Third-Party-Risk,High,True,amanda.dudley@corp.com - Security Manager,2,0.481,No_Incident,True,0.0,Mid-Market,9.600001282939484e-05,1.9544101020849267,56.49999999999999,0.6415879902862747,79.0,63.025,22.75,35.36747639708588
ISO27001,A.15.4.5,Hybrid,Partially_Compliant,2.2,Monthly,Low,46314576.11,1000.0,500.0,Network-Device,Public,E-commerce Protection,Asset Management,SE,Retail,ISO-Audit,Low,False,nicholas.arnold@retail.com - Security Manager,45,0.399,No_Incident,True,0.0,SME,2.159147473626743e-05,1.0,61.25000000000001,0.50729472363015,46.5,72.475,22.75,26.014688417089044
SOC2,CC4.7,Hybrid,Partially_Compliant,2.9,Quarterly,Medium,2324066256.51,55777.59,4023.87,Application,Public,Information Security,Processing Integrity,BR,Telecommunications,External,Informational,False,maria.montgomery@corp.com - Compliance Manager,0,0.74,No_Incident,True,0.0,Large,2.3999999932772998e-05,10.0,58.75,1.099338423948025,50.0,88.5,21.5,27.44230152718441
PCI-DSS,Req 9.7,Hybrid,Partially_Compliant,3.0,Monthly,Low,344292032.59,99156.11,2797.3,Payment-System,Confidential,E-commerce Protection,Transaction Security,IN,Retail,Certification,Informational,False,michelle.ray@retail.com - Payment Security Manager,39,0.614,Documentation_Gap,True,10875.05,Mid-Market,0.0002880000134016462,10.0,62.74999999999999,0.5237545623994715,68.25,79.35,52.8411779887088,37.100361966461605
SOC2,CC7.6.5,Hybrid,Not_Assessed,3.1,Quarterly,Medium,7148995455.61,2144698.64,846.25,Mobile-Device,Restricted,Medical Device Security,Processing Integrity,DE,Healthcare,SOC-Audit,Observation,False,janet.williams@health.org - Compliance Manager,120,0.468,Documentation_Gap,False,9800.04,Large,0.0003000000004639813,10.0,54.175000000000004,1.4184002130802456,69.75000000000001,68.95,60.9781804041029,41.51490614474466
ISO27001,A.7.10,Administrative,Compliant,2.8,Quarterly,Negligible,7883616876.2,3153.45,1260.15,Endpoint,Public,Data Protection Office,Operations Security,JP,Technology,Regulatory,Best-Practice,False,jeremy.roberts@tech.io - Risk Manager,4,0.827,Data_Loss,False,635507.27,Large,4.000004121864432e-07,1.5024401856921792,72.19999999999999,0.15400582378757374,45.00000000000001,90.67500000000001,77.25780301622584,33.697762350381446
FISMA,FISMA-5,Administrative,Remediation_Required,3.4,Annual,Low,201436841.86,64459.79,500.0,Virtual-Machine,Confidential,IT Risk Management,Security,US,Defense,SOC-Audit,High,False,christopher.hall@corp.com - ISSO,190,0.473,Compliance_Violation,False,141538.19,Mid-Market,0.0003200000030024299,10.0,45.15,0.7257644679557032,68.5,54.825,76.87719176474339,46.43066769333539
SOC2,CC7.7,Preventive,Compliant,3.0,Weekly,Critical,272285303.99,3267.42,500.0,Virtual-Machine,Public,Internal Audit,Privacy,GB,Pharmaceuticals,Customer,Low,False,craig.ramirez@corp.com - Risk Manager,3,0.714,No_Incident,True,0.0,Mid-Market,1.1999986602729025e-05,5.53484,77.0,2.440194937880312,51.5,86.35000000000001,21.5,23.657058481364093
ISO27001,A.10.11.4,Physical,Partially_Compliant,3.5,Monthly,Medium,19468104661.22,4672345.12,1280.23,E-Commerce-Platform,Confidential,Data Protection Office,Operations Security,ZA,Technology,Third-Party-Risk,Informational,False,cynthia.diaz@tech.io - Compliance Manager,42,0.8,Service_Disruption,False,422050.85,Enterprise,0.0002400000000671457,10.0,64.3625,1.1163600920654748,65.75,84.00000000000001,75.06341452068396,40.69446593175644
SOC2,CC5.6.3,Detective,Not_Assessed,4.4,Weekly,Medium,1450840938.18,87050.46,730.37,E-Commerce-Platform,Internal,Regulatory Compliance,Processing Integrity,AU,Financial-Services,Penetration-Test,Low,False,mitchell.clark@finserv.com - Compliance Manager,4,0.791,Transaction_Error,False,16608.08,Large,6.000000255658626e-05,10.0,65.45,1.492640956530408,64.75,88.275,44.05086394235832,34.082965075430785
NIST-CSF,SA-9,Preventive,Compliant,2.3,Daily,High,255412477.91,20433.0,1331.7,Mobile-Device,Confidential,DevSecOps,Business Continuity,IN,Technology,Third-Party-Risk,Best-Practice,False,joseph.zuniga@tech.io - Risk Manager,0,0.756,No_Incident,True,0.0,Mid-Market,8.000000691900417e-05,10.0,73.62499999999999,1.6111272995836228,56.75,88.9,22.75,25.814588189875092
GDPR,Art.91,Physical,Partially_Compliant,2.7,Weekly,High,277667005.47,1999202.44,2497.04,Server,Regulated,Product Security,Data Governance,CH,Technology,Regulatory,Medium,True,deborah.lynch@tech.io - Privacy Manager,4,0.563,Configuration_Error,False,16518.5,Mid-Market,0.007200000002218484,10.0,60.8,1.7108125901333433,73.75,69.575,66.04499224569832,41.95974222617967
SOC2,CC5.2,Preventive,Remediation_Required,2.4,Weekly,High,14261034.32,3422.65,500.0,IoT-Device,Internal,Customer Data Protection,Privacy,BR,Retail,Penetration-Test,High,True,george.daniel@retail.com - Security Manager,1,0.42,No_Incident,True,0.0,SME,0.00024000012363759602,5.8453,44.775000000000006,1.4851655803490136,56.00000000000001,61.499999999999986,21.5,32.5517996741047
CIS-Controls,Control 6.2,Physical,Partially_Compliant,2.6,Weekly,Critical,42484290.86,45883.03,610.74,Physical-Server,Restricted,DevSecOps,Vulnerability Management,DE,Technology,Certification,High,True,frank.gray@tech.io - Audit Manager,0,0.543,Configuration_Error,True,49974.86,SME,0.0010799999028158428,10.0,56.762499999999996,2.136140124572624,74.5,64.57499999999999,46.49690069081935,39.374597175535655
SOC2,CC5.8,Technical,Compliant,3.0,Weekly,Medium,110528339.23,6631.7,1038.4,API,Restricted,Information Security,Trust Services Criteria,FR,Insurance,Third-Party-Risk,Low,False,veronica.bowman@corp.com - Compliance Manager,14,0.892,No_Incident,True,0.0,Mid-Market,5.999999679901098e-05,5.386459938366717,77.0,1.1634140922654213,74.25,90.8,21.5,28.96152422767963
SOC2,CC5.1,Physical,In_Progress,3.5,Weekly,Medium,99705071813.0,15952811.49,1032.9,Physical-Server,Confidential,IT Risk Management,Availability,CH,Telecommunications,SOC-Audit,Medium,False,angela.cohen@corp.com - Audit Manager,14,0.739,Compliance_Violation,False,80647.45,Enterprise,0.00015999999999919765,10.0,58.5,1.1152400145033632,66.5,83.975,73.76649006251408,42.08787001685383
ISO27001,A.10.2.4,Administrative,Compliant,3.0,Quarterly,Low,3172444017.78,76138.66,500.0,POS-System,Restricted,Compliance and Governance,Operations Security,CH,Energy,Certification,Low,False,megan.parsons@energy.com - Audit Manager,120,0.624,Documentation_Gap,False,2983.91,Large,2.400000112634927e-05,10.0,76.99999999999999,0.6974082679513778,76.5,72.1,60.93732810240498,37.27168810086641
NIST-CSF,SR-1,Technical,Partially_Compliant,3.6,Weekly,High,210042289.99,151230.45,12583.02,Cloud-Service,Restricted,IT Risk Management,Incident Response,BR,Insurance,ISO-Audit,Low,False,jeremy.johnson@corp.com - Compliance Manager,14,0.797,Documentation_Gap,False,48561.22,Mid-Market,0.000720000005747414,10.0,70.6,1.7358898607042843,70.75,88.425,63.96574633024379,38.35141622426005
NIST-CSF,RA-11(9),Detective,Compliant,3.0,Weekly,Low,20798183136.67,332770.93,2783.35,API,Confidential,Privacy Office,Incident Response,GB,Telecommunications,SOC-Audit,Recommendation,False,leslie.adams@corp.com - Audit Manager,1,0.887,No_Incident,True,0.0,Enterprise,1.5999999991022294e-05,10.0,79.5,0.5882241873571051,67.25,90.675,22.75,26.663967256207133
GDPR,Art.53,Administrative,In_Progress,3.7,Annual,Medium,1937271850.22,4649452.44,500.0,Payment-System,Regulated,DevSecOps,Data Governance,CH,Technology,Penetration-Test,Medium,False,jason.hahn@tech.io - Data Protection Officer,400,0.615,No_Incident,True,0.0,Large,0.0023999999997274517,10.0,51.775000000000006,1.1326003613290556,82.5,62.875,27.749999999999996,38.571030108398716
SOC2,CC3.2,Hybrid,Not_Assessed,2.7,Quarterly,Low,735023944.4,58801.92,500.0,Container,Confidential,Security Operations,Processing Integrity,IN,Transportation,Penetration-Test,Low,False,nancy.edwards@corp.com - Security Manager,48,0.463,No_Incident,True,0.0,Mid-Market,8.000000605150354e-05,10.0,47.25,0.4809608163725557,57.25,74.075,21.5,31.944288244911768
NIST-CSF,RA-4(12),Technical,Partially_Compliant,2.6,Weekly,Medium,869499035.41,20867.98,3118.33,API,Public,Educational Technology,Business Continuity,ZA,Education,Internal,Medium,True,diana.foster@edu.org - Audit Manager,2,0.644,Documentation_Gap,False,5079.61,Mid-Market,2.400000362295974e-05,5.692037083951988,65.60000000000001,0.8527679450275528,46.25,71.59999999999998,61.51478964671847,32.721288312851954
GDPR,Art.60,Detective,In_Progress,3.1,Weekly,Low,689099598.23,727689.18,2625.14,Network-Device,Personal-Data,Security Architecture,Individual Rights,GB,Technology,Vendor,Recommendation,False,robin.ellis@tech.io - Data Protection Officer,5,0.567,No_Incident,True,0.0,Mid-Market,0.0010560000061952148,10.0,56.05,0.5747893334173712,74.0,82.675,27.749999999999996,35.20993680002521
NIST-CSF,PS-9,Administrative,Partially_Compliant,2.5,Quarterly,Negligible,12239351.05,1000.0,500.0,Payment-System,Confidential,Cloud Security Engineering,Cybersecurity,BR,Technology,Certification,Low,False,joseph.wright@tech.io - Security Manager,120,0.462,Service_Disruption,False,60860.02,SME,8.170367823545677e-05,1.0,56.2875,0.1272010440700612,70.25,68.05,72.96084806659906,43.120954926540826
PCI-DSS,Req 3.6.5,Detective,Compliant,3.4,Weekly,Low,8738011242.61,419424.54,928.6,Container,Confidential,Payment Security,E-commerce Security,NL,Financial-Services,Customer,Informational,False,anna.baker@finserv.com - Card Data Security Officer,1,0.853,No_Incident,True,0.0,Large,4.8000000040595045e-05,10.0,88.275,0.7799122019162815,66.25000000000001,91.325,25.25,24.77772366057489
ISO27001,A.15.12.3,Compensating,Remediation_Required,3.4,Monthly,Low,1835130640.14,29362.09,5093.19,Backup-System,Public,Medical Device Security,Access Control,SE,Healthcare,Compliance-Assessment,Critical,True,brenda.hurst@health.org - Audit Manager,8,0.453,No_Incident,True,0.0,Large,1.5999999867998497e-05,4.7649704801902155,56.07250000000001,0.7382929956866499,51.5,59.324999999999996,22.75,28.62836289870599
ISO27001,A.13.3.4,Hybrid,Partially_Compliant,2.7,Quarterly,Medium,29139488.42,10490.22,1680.12,POS-System,Restricted,Cloud Security Engineering,Operations Security,US,Technology,Regulatory,Best-Practice,False,reginald.robinson@tech.io - Audit Manager,14,0.73,Service_Disruption,True,211729.99,SME,0.000360000143063596,5.243732590529247,58.425,1.0761207229807639,76.5,88.25,62.31446107042641,42.304478430979515
ISO27001,A.8.2.4,Technical,Compliant,3.3,Weekly,Low,441664451.61,1000.0,338.39,Endpoint,Public,HIPAA Compliance Office,Access Control,ZA,Healthcare,Certification,Recommendation,False,whitney.hicks@health.org - Compliance Manager,1,0.918,No_Incident,True,0.0,Mid-Market,2.2641622986742506e-06,1.9551700700375307,90.475,0.7200421340271607,47.00000000000001,91.45,22.75,18.89726264020815
SOC2,CC3.2,Administrative,Partially_Compliant,3.6,Quarterly,High,91744896084.49,13211265.04,10891.73,Backup-System,Internal,Privacy Office,Confidentiality,FR,Telecommunications,Internal,Critical,True,christopher.williams@corp.com - Security Manager,24,0.81,Training_Deficiency,False,53115.5,Enterprise,0.00014400000004178366,10.0,62.25000000000001,1.6400161662051655,55.50000000000001,68.25,59.313073625954246,35.6671195750524
ISO27001,A.5.8,Compensating,Remediation_Required,3.0,Monthly,Medium,3250963584.03,1950578.15,466194.88,Cloud-Service,Restricted,Compliance and Governance,Operations Security,NL,Energy,Compliance-Assessment,High,False,daniel.burton@energy.com - Risk Manager,12,0.441,Access_Violation,True,89066.42,Large,0.0005999999998714227,3.1840402665940903,48.975,1.344943783502463,73.75,72.02499999999999,57.87429718091861,43.17209257123446
ISO27001,A.12.4.4,Corrective,Partially_Compliant,4.2,Monthly,Low,7269252497.0,1046772.36,5758.91,SCADA-System,Restricted,Information Security - GRC,Operations Security,NL,Financial-Services,Vendor,Medium,False,laura.henderson@finserv.com - Security Manager,2,0.989,System_Outage,True,1203807.73,Large,0.0001440000000594284,10.0,77.22,0.78173750523554,83.25,90.225,64.20139372124058,39.58229999581878
PCI-DSS,Req 11.7,Administrative,Partially_Compliant,2.7,Monthly,Negligible,511693380.21,36841.92,6563.91,API,Confidential,Customer Data Protection,Cardholder Data Protection,US,Retail,Third-Party-Risk,Medium,False,bryan.james@retail.com - Payment Security Manager,6,0.709,Access_Violation,False,23234.26,Mid-Market,7.199999340401863e-05,4.612800906776601,61.25000000000001,0.13095267607878752,67.25,83.225,70.91536884137372,40.72235957109838
NIST-CSF,MA-1,Detective,Compliant,2.6,Weekly,Negligible,61696106.8,1000.0,500.0,Backup-System,Public,IT Risk Management,Incident Response,BR,Manufacturing,Regulatory,Low,False,wendy.rice@corp.com - Audit Manager,6,0.711,No_Incident,True,0.0,SME,1.6208478166080978e-05,1.0,77.5,0.10820422682489261,45.5,86.275,22.75,21.58246126804747
ISO27001,A.14.2,Administrative,Remediation_Required,3.2,Monthly,High,335628365.07,26850.27,3206.26,Server,Public,Privacy Office,Compliance,GB,Healthcare,ISO-Audit,High,True,tasha.valencia@health.org - Audit Manager,3,0.495,Data_Breach,False,1158047.79,Mid-Market,8.000000236690365e-05,7.37432709761529,55.55000000000001,2.0714571954545558,53.5,63.37499999999999,83.15931714282527,41.74080058720142
PCI-DSS,Req 5.5,Corrective,Compliant,3.8,Weekly,High,34272222291.29,500000.0,234232.49,Payment-System,Regulated,Payment Security,Payment Security,BR,Financial-Services,Regulatory,High,False,alexander.le@finserv.com - Payment Security Manager,6,0.864,No_Incident,True,0.0,Enterprise,1.4589074374878539e-05,1.1346312802293141,88.55,2.223290177906949,87.5,82.6,25.25,30.454487053372088
ISO27001,A.11.5,Technical,Compliant,3.5,Weekly,Medium,1966068855.3,23592.83,1266.91,Data-Store,Internal,Product Security,Operations Security,CH,Technology,SOC-Audit,Low,False,erin.herrera@tech.io - Risk Manager,0,0.949,Network_Intrusion,False,997052.57,Large,1.200000190044209e-05,10.0,79.08749999999999,1.0991689021689677,62.0,92.225,79.49679623211411,36.957234917073514
SOC2,CC6.6.2,Preventive,Non_Compliant,3.8,Daily,High,1953369789.26,586010.94,500.0,Container,Internal,Internal Audit,Privacy,SE,Financial-Services,Regulatory,Low,False,joseph.davidson@finserv.com - Risk Manager,1,0.733,Transaction_Error,True,166726.79,Large,0.00030000000164945724,10.0,56.48500000000001,2.2097004863703855,58.25,86.825,34.55501998393967,33.01516414269905
ISO27001,A.5.6.5,Technical,Partially_Compliant,3.1,Weekly,Medium,282412151.92,6777.89,2813.17,Physical-Server,Public,Privacy Office,Information Security,CA,Healthcare,Customer,High,False,daniel.graham@health.org - Audit Manager,7,0.802,Documentation_Gap,True,14303.59,Mid-Market,2.3999994171355627e-05,1.4093424855234487,76.285,1.3954499300937873,57.50000000000001,81.04999999999998,50.6386885362883,30.8501226862858
SOC2,CC6.2,Physical,Non_Compliant,3.7,Monthly,Critical,53463425185.97,120292706.67,7605.0,Physical-Server,Restricted,Privacy Office,Availability,BR,Healthcare,SOC-Audit,Critical,True,shawn.mckay@health.org - Security Manager,9,0.606,Access_Violation,False,299912.09,Enterprise,0.0022500000000293193,10.0,52.25,2.8215002560447293,77.5,63.150000000000006,69.94248855345104,46.14744778750363
CIS-Controls,Control 19.3,Corrective,In_Progress,2.8,Monthly,Medium,721290521.98,34621.95,500.0,SCADA-System,Internal,Security Operations,Security Operations,FR,Manufacturing,External,Medium,True,nancy.baker@corp.com - Audit Manager,45,0.512,No_Incident,True,0.0,Mid-Market,4.8000006855711875e-05,10.0,51.55,0.9305768319246146,62.24999999999999,62.3,19.0,31.754173049577386
PCI-DSS,Req 4.3,Physical,Partially_Compliant,4.2,Monthly,Critical,34831710886.48,500000.0,97506.04,Cloud-Service,Regulated,Payment Security,Cardholder Data Protection,FR,Financial-Services,Third-Party-Risk,Critical,False,vincent.white@finserv.com - Card Data Security Officer,12,0.928,Data_Breach,False,20346255.04,Enterprise,1.4354735592217951e-05,4.1278874621510635,75.62500000000001,2.9357780587352584,81.0,81.2,88.77121126353951,44.97872567032848
ISO27001,A.8.5.4,Preventive,Non_Compliant,3.4,Weekly,Medium,1122977571.95,842233.18,500.0,Physical-Server,Restricted,Store Operations Security,Access Control,SG,Retail,Penetration-Test,Low,False,rita.harrell@retail.com - Security Manager,6,0.622,Configuration_Error,True,2702.78,Large,0.0007500000009238832,10.0,51.6,1.030250578830338,74.5,84.05,47.079928378054696,40.45006084926004
ISO27001,A.18.7,Technical,Partially_Compliant,3.3,Weekly,Negligible,3042399381.28,109526.38,731.67,Virtual-Machine,Restricted,Information Security,Access Control,CA,Energy,Internal,Medium,True,kenneth.fowler@energy.com - Compliance Manager,7,0.688,Data_Breach,False,598160.12,Large,3.600000074741009e-05,10.0,70.35,0.1876124088475906,72.5,72.7,82.4420454520366,42.082192813061596
ISO27001,A.6.1.3,Preventive,Non_Compliant,3.5,Weekly,Low,1386343616.33,415903.08,548.88,POS-System,Restricted,Internal Audit,Compliance,NL,Insurance,Customer,Medium,False,chelsea.hernandez@corp.com - Security Manager,0,0.626,Documentation_Gap,False,15177.96,Large,0.00029999999646624406,10.0,52.099999999999994,0.6195005938257335,75.5,81.15,62.703105041261296,43.576471186399985
ISO27001,A.15.11.1,Corrective,Non_Compliant,3.3,Monthly,Critical,171558024.45,25733.7,1247.96,E-Commerce-Platform,Public,Privacy Office,Information Security,FR,Healthcare,Compliance-Assessment,Critical,True,kathryn.ryan@health.org - Risk Manager,0,0.487,Configuration_Error,False,16967.56,Mid-Market,0.00014999997862239316,10.0,53.9825,2.7477130933075977,58.75,60.17499999999999,61.074112471058015,39.23101142220388
ISO27001,A.7.3.1,Hybrid,Non_Compliant,4.2,Quarterly,Critical,43795305654.73,6569295.85,500.0,Mobile-Device,Public,Risk Management,Access Control,ZA,Financial-Services,Internal,High,True,kimberly.moreno@finserv.com - Security Manager,42,0.763,Transaction_Error,True,249208.3,Enterprise,0.00015000000004088335,10.0,56.65000000000001,2.938350021692599,46.75,64.07499999999999,36.241410613259546,30.654787129159686
NIST-CSF,PS-11(8),Hybrid,Partially_Compliant,3.0,Quarterly,Medium,9605302138.89,2305272.51,2839.6,E-Commerce-Platform,Confidential,Patient Data Protection,Incident Response,AU,Healthcare,Penetration-Test,High,True,aaron.nguyen@health.org - Audit Manager,112,0.533,Policy_Violation,False,40468.95,Large,0.0002399999996529417,10.0,67.92500000000001,1.4173205321248539,70.75,52.325,60.2678316695694,38.18501249355133
ISO27001,A.15.1.1,Compensating,Compliant,2.9,Weekly,Medium,6991243790.38,27964.98,500.0,Network-Device,Public,Information Security,Compliance,NL,Telecommunications,SOC-Audit,Low,False,andrew.hickman@corp.com - Compliance Manager,7,0.816,System_Outage,False,2281753.04,Large,4.000000692077139e-06,10.0,76.75,1.0990561001349344,48.5,88.9,76.8956720703766,33.646351244115806
SOC2,CC7.6,Detective,Compliant,3.7,Weekly,High,2474774444.44,19798.2,3054.69,Cloud-Service,Public,Clinical IT Security,Availability,AU,Healthcare,Compliance-Assessment,Medium,False,natasha.decker@health.org - Audit Manager,6,0.88,No_Incident,True,0.0,Large,8.000001795913163e-06,5.48124686956778,88.55000000000001,2.0881462218275337,51.75000000000001,87.5,21.5,20.726443866548262
ISO27001,A.15.6.3,Technical,Non_Compliant,2.9,Weekly,Medium,882359564.51,441179.78,30225.48,API,Confidential,Medical Device Security,Information Security,CA,Healthcare,ISO-Audit,High,True,kyle.brown@health.org - Risk Manager,1,0.491,No_Incident,True,0.0,Mid-Market,0.0004999999974443526,10.0,54.010000000000005,1.4040616594703548,70.25,63.27499999999999,22.75,34.0312184978411
